CountryName,CountryCode,Region
Afghanistan,AFG,South Asia
Albania,ALB,Europe & Central Asia
Algeria,DZA,Middle East & North Africa
Andorra,AND,Europe & Central Asia
Angola,AGO,Sub-Saharan Africa
Antigua and Barbuda,ATG,Latin America & Caribbean
Argentina,ARG,Latin America & Caribbean
Armenia,ARM,Europe & Central Asia
Aruba,ABW,Latin America & Caribbean
Australia,AUS,East Asia & Pacific
Austria,AUT,Europe & Central Asia
Azerbaijan,AZE,Europe & Central Asia
"Bahamas, The",BHS,Latin America & Caribbean
Bahrain,BHR,Middle East & North Africa
Bangladesh,BGD,South Asia
Barbados,BRB,Latin America & Caribbean
Belarus,BLR,Europe & Central Asia
Belgium,BEL,Europe & Central Asia
Belize,BLZ,Latin America & Caribbean
Benin,BEN,Sub-Saharan Africa
Bhutan,BTN,South Asia
Bolivia,BOL,Latin America & Caribbean
Bosnia and Herzegovina,BIH,Europe & Central Asia
Botswana,BWA,Sub-Saharan Africa
Brazil,BRA,Latin America & Caribbean
Brunei Darussalam,BRN,East Asia & Pacific
Bulgaria,BGR,Europe & Central Asia
Burkina Faso,BFA,Sub-Saharan Africa
Burundi,BDI,Sub-Saharan Africa
Cabo Verde,CPV,Sub-Saharan Africa
Cambodia,KHM,East Asia & Pacific
Cameroon,CMR,Sub-Saharan Africa
Canada,CAN,North America
Central African Republic,CAR,Sub-Saharan Africa
Chad,TCD,Sub-Saharan Africa
Chile,CHL,Latin America & Caribbean
"China, People's Republic of",CHN,East Asia & Pacific
Colombia,COL,Latin America & Caribbean
Comoros,COM,Sub-Saharan Africa
"Congo, Dem. Rep.",COD,Sub-Saharan Africa
"Congo, Republic of ",COG,Sub-Saharan Africa
Costa Rica,CRI,Latin America & Caribbean
Croatia,HRV,Europe & Central Asia
Cte d'Ivoire,CIV,Sub-Saharan Africa
Cyprus,CYP,Europe & Central Asia
Czech Republic,CZE,Europe & Central Asia
Denmark,DNK,Europe & Central Asia
Djibouti,DJI,Middle East & North Africa
Dominica,DMA,Latin America & Caribbean
Dominican Republic,DOM,Latin America & Caribbean
Ecuador,ECU,Latin America & Caribbean
Egypt,EGY,Middle East & North Africa
El Salvador,SLV,Latin America & Caribbean
Equatorial Guinea,GNQ,Sub-Saharan Africa
Eritrea,ERI,Sub-Saharan Africa
Estonia,EST,Europe & Central Asia
Eswatini,SWZ,Sub-Saharan Africa
Ethiopia,ETH,Sub-Saharan Africa
Fiji,FJI,East Asia & Pacific
Finland,FIN,Europe & Central Asia
France,FRA,Europe & Central Asia
Gabon,GAB,Sub-Saharan Africa
"Gambia, The",GMB,Sub-Saharan Africa
Georgia,GEO,Europe & Central Asia
Germany,DEU,Europe & Central Asia
Ghana,GHA,Sub-Saharan Africa
Greece,GRC,Europe & Central Asia
Grenada,GRD,Latin America & Caribbean
Guatemala,GTM,Latin America & Caribbean
Guinea,GIN,Sub-Saharan Africa
Guinea-Bissau,GNB,Sub-Saharan Africa
Guyana,GUY,Latin America & Caribbean
Haiti,HTI,Latin America & Caribbean
Honduras,HND,Latin America & Caribbean
Hong Kong SAR,HKG,East Asia & Pacific
Hungary,HUN,Europe & Central Asia
Iceland,ISL,Europe & Central Asia
India,IND,South Asia
Indonesia,IDN,East Asia & Pacific
Iran,IRN,Middle East & North Africa
Iraq,IRQ,Middle East & North Africa
Ireland,IRL,Europe & Central Asia
Israel,ISR,Middle East & North Africa
Italy,ITA,Europe & Central Asia
Jamaica,JAM,Latin America & Caribbean
Japan,JPN,East Asia & Pacific
Jordan,JOR,Middle East & North Africa
Kazakhstan,KAZ,Europe & Central Asia
Kenya,KEN,Sub-Saharan Africa
Kiribati,KIR,East Asia & Pacific
"Korea, Republic of",ROK,East Asia & Pacific
Kosovo,XKX,Europe & Central Asia
Kuwait,KWT,Middle East & North Africa
Kyrgyz Republic,KGZ,Europe & Central Asia
Lao P.D.R.,LAO,East Asia & Pacific
Latvia,LVA,Europe & Central Asia
Lebanon,LBN,Middle East & North Africa
Lesotho,LSO,Sub-Saharan Africa
Liberia,LBR,Sub-Saharan Africa
Libya,LBY,Middle East & North Africa
Lithuania,LTU,Europe & Central Asia
Luxembourg,LUX,Europe & Central Asia
Macao SAR,MAC,East Asia & Pacific
Madagascar,MDG,Sub-Saharan Africa
Malawi,MWI,Sub-Saharan Africa
Malaysia,MYS,East Asia & Pacific
Maldives,MDV,South Asia
Mali,MLI,Sub-Saharan Africa
Malta,MLT,Middle East & North Africa
Marshall Islands,MHL,East Asia & Pacific
Mauritania,MRT,Sub-Saharan Africa
Mauritius,MUS,Sub-Saharan Africa
Mexico,MEX,Latin America & Caribbean
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific
